,index,Predicted_Values
0,2021-12-03,3.760140317294379e-06
1,2021-12-06,-5.091487599406082e-06
2,2021-12-07,5.837774713211295e-06
3,2021-12-08,1.5197479742632065e-05
4,2021-12-09,1.340155176620541e-05
5,2021-12-10,1.8448713722938987e-06
6,2021-12-13,2.3566432399393827e-06
7,2021-12-14,-8.980205408798357e-06
8,2021-12-15,-1.9798499795849796e-05
9,2021-12-16,9.288890648329932e-06
10,2021-12-17,-1.9222443156737045e-05
11,2021-12-20,-2.5017643447989746e-05
12,2021-12-21,-4.883630263382866e-06
13,2021-12-22,2.0200190587925375e-05
14,2021-12-23,2.7366434059109275e-05
15,2021-12-27,1.5203846771513395e-05
16,2021-12-28,1.786994652852333e-05
17,2021-12-29,9.263503419094188e-06
18,2021-12-30,3.332795632554582e-06
19,2021-12-31,-4.211033439518493e-06
20,2022-01-03,-3.0073710626016967e-06
21,2022-01-04,8.155004231491377e-06
22,2022-01-05,8.816042521528377e-07
23,2022-01-06,-2.9275005289249358e-05
24,2022-01-07,-1.5581711180550436e-05
25,2022-01-10,-6.211656555719224e-06
26,2022-01-11,2.6947016528623162e-06
27,2022-01-12,1.956495290594041e-05
28,2022-01-13,1.2344387633292925e-05
29,2022-01-14,-2.3425678845162077e-05
30,2022-01-18,5.930559379269649e-08
31,2022-01-19,-8.731381361518348e-06
32,2022-01-20,-3.355802422166844e-05
33,2022-01-21,-3.630287079961631e-05
34,2022-01-24,-4.918999636111074e-05
35,2022-01-25,2.2940111730721728e-05
36,2022-01-26,3.825757878714646e-05
37,2022-01-27,-1.6309874899347508e-05
38,2022-01-28,-3.402972753339648e-05
39,2022-01-31,2.1046177176807352e-05
40,2022-02-01,3.7122619554509354e-05
41,2022-02-02,3.345043260590451e-05
42,2022-02-03,2.647584807139884e-05
43,2022-02-04,-1.4169107805525834e-05
44,2022-02-07,-5.749210411780649e-06
45,2022-02-08,2.2915079398479894e-06
46,2022-02-09,6.0209882055349495e-06
47,2022-02-10,1.2976471146021718e-05
48,2022-02-11,-2.771680349848561e-06
49,2022-02-14,-5.654094966445094e-05
50,2022-02-15,-3.9541132144968036e-05
51,2022-02-16,3.2245047800335783e-06
52,2022-02-17,1.233619639312303e-05
53,2022-02-18,-2.5038544799813877e-05
54,2022-02-22,-2.8183025407789816e-05
55,2022-02-23,-2.476583589277431e-05
56,2022-02-24,-5.82690737652684e-05
57,2022-02-25,3.3784481959724666e-05
58,2022-02-28,6.245098282254462e-05
59,2022-03-01,2.9580871346977605e-05
60,2022-03-02,-3.0457055423145192e-05
61,2022-03-03,-2.359698653799665e-07
62,2022-03-04,-2.6158111820283267e-05
63,2022-03-07,-2.8861224963392784e-05
64,2022-03-08,-4.999066733304419e-05
65,2022-03-09,-6.0043187282043864e-05
66,2022-03-10,4.492332430778092e-06
