,mu,sigma
2021-12-01,-6.0378691612596576e-05,0.0005303697344669859
2021-12-02,3.894677943731692e-05,0.0006434421959534435
2021-12-03,-2.216320493191869e-05,0.0007029534099933996
2021-12-06,2.9868413950783173e-05,0.0005646363538425106
2021-12-07,5.250906841556437e-05,0.0006586240380206615
2021-12-08,6.7192359948506005e-06,0.0002831922093075073
2021-12-09,-1.7206879827807172e-05,0.00031011013936975114
2021-12-10,2.415532379601987e-05,0.0004442981465098819
2021-12-13,-2.2758979802645974e-05,0.0003041821053858563
2021-12-14,-1.7683294618409652e-05,0.00048725995546745497
2021-12-15,3.9461218406786804e-05,0.0004759359907195556
2021-12-16,-2.279009120135867e-05,0.0004890086192985532
2021-12-17,-3.6519501998081654e-05,0.0007560481142105019
2021-12-20,-2.6958258014503346e-05,0.0007687022681012524
2021-12-21,4.439265708719846e-05,0.0005448458848499066
2021-12-22,2.5351641601878575e-05,0.00025052921451633404
2021-12-23,1.5776231202780543e-05,0.00022534432006022576
2021-12-27,3.591720882350478e-05,0.00026567166510323387
2021-12-28,-2.01997692955533e-06,0.000268095532479868
2021-12-29,3.2914996983961485e-06,0.0002060896618490077
2021-12-30,-7.106460045539336e-06,0.00019372095755470277
2021-12-31,-6.523487184976505e-06,0.0002487745069646629
2022-01-03,1.4805010901299359e-05,0.00035147204275734955
2022-01-04,-8.017273934404467e-07,0.000327206250005785
2022-01-05,-4.956609133776358e-05,0.0003584509135236201
2022-01-06,-2.3331523185630156e-06,0.00048284002461940564
2022-01-07,-1.011735774640827e-05,0.0003635080813891641
2022-01-10,-3.4307056850060273e-06,0.0006076351518309803
2022-01-11,2.3280833658228927e-05,0.00045775649010881375
2022-01-12,6.7920280061565195e-06,0.0004377798756053941
2022-01-13,-3.532494405261027e-05,0.0004307237839666283
2022-01-14,9.100415497651566e-07,0.000603863045330316
2022-01-18,-4.55528515674396e-05,0.0007693618042958852
2022-01-19,-2.673547280578276e-05,0.00047728876970041926
2022-01-20,-2.824291625973269e-05,0.0005304138124271283
2022-01-21,-5.031399946233038e-05,0.0008280594584634733
2022-01-24,1.0606420739665384e-05,0.001428490803904912
2022-01-25,-3.110365169400534e-05,0.0011512910600512455
2022-01-26,-6.52824525536677e-06,0.0012947364962170112
2022-01-27,-1.2217073241282364e-05,0.0010519615137782208
2022-01-28,6.250607393967738e-05,0.0007906141967735516
2022-01-31,4.5483729950595185e-05,0.0004582924587802769
2022-02-01,1.734216850425864e-05,0.0005010780639802419
2022-02-02,2.490573825802939e-05,0.0005265337976690619
2022-02-03,-6.1002125592733814e-05,0.0008485084440429857
2022-02-04,1.1842809713297125e-05,0.0005567914052373896
2022-02-07,-8.253080109077226e-06,0.0004458061839404824
2022-02-08,2.0950487359087126e-05,0.0003981493916859369
2022-02-09,3.697828724965864e-05,0.000573100253686704
2022-02-10,-4.639172940179652e-05,0.0008724209608700707
2022-02-11,-5.038753118271923e-05,0.0007569749391928214
2022-02-14,-8.226572760230041e-06,0.0007116368685117253
2022-02-15,4.079692126277798e-05,0.000658672703345161
2022-02-16,2.8671801626195047e-06,0.0005085456221512689
2022-02-17,-5.494863396756969e-05,0.0005275823586576971
2022-02-18,-1.6372856612443195e-05,0.0005808514215808602
2022-02-22,-2.7257373180627937e-05,0.0007459454540310261
2022-02-23,-4.593139686383282e-05,0.0006900855234983716
2022-02-24,3.776826501267102e-05,0.0016331106311407548
2022-02-25,5.573047531961843e-05,0.0006094176683501666
2022-02-28,-6.798513896762599e-06,0.000866983808432696
2022-03-01,-3.942896354811639e-05,0.0006755788861728594
2022-03-02,4.623014501258691e-05,0.0006697485091561523
2022-03-03,-1.2905253961698065e-05,0.0006655448255463278
2022-03-04,-2.0932047167101346e-05,0.0007301631028821163
2022-03-07,-7.638031684576219e-05,0.0006036804839067782
2022-03-08,-1.9931976731824848e-05,0.0009939240072461973
2022-03-09,6.79098228195681e-05,0.0011887499960545386
2022-03-10,-1.1088321521145126e-05,0.0007695489054457336
